Subject	Object	IRI	DiseaseLocation	Direct	Inherited
EFO:0000548	instrument	http://www.ebi.ac.uk/efo/EFO_0000548		10	26
EFO:0000551	intracranial hemorrhage	http://www.ebi.ac.uk/efo/EFO_0000551	UBERON:0003499	6	3
EFO:0000554	irradiate	http://www.ebi.ac.uk/efo/EFO_0000554		2	0
EFO:0000556	ischemia	http://www.ebi.ac.uk/efo/EFO_0000556		0	75
EFO:0000561	knock in expression	http://www.ebi.ac.uk/efo/EFO_0000561		0	0
EFO:0000562	labelling	http://www.ebi.ac.uk/efo/EFO_0000562		0	0
EFO:0000568	light	http://www.ebi.ac.uk/efo/EFO_0000568		4	0
EFO:0000572	lymphoblast	http://www.ebi.ac.uk/efo/EFO_0000572		0	0
EFO:0000579	media	http://www.ebi.ac.uk/efo/EFO_0000579		0	11
EFO:0000586	mesenchymal stem cell	http://www.ebi.ac.uk/efo/EFO_0000586		0	0
EFO:0000597	129 mouse strain	http://www.ebi.ac.uk/efo/EFO_0000597		0	0
EFO:0000598	129S6	http://www.ebi.ac.uk/efo/EFO_0000598		0	0
EFO:0000599	129/Sv	http://www.ebi.ac.uk/efo/EFO_0000599		0	0
EFO:0000600	129X1/SvJ	http://www.ebi.ac.uk/efo/EFO_0000600		0	0
EFO:0000601	129xC57BL/6	http://www.ebi.ac.uk/efo/EFO_0000601		0	0
EFO:0000602	BALB/c	http://www.ebi.ac.uk/efo/EFO_0000602		0	0
EFO:0000603	BALB/cByJ	http://www.ebi.ac.uk/efo/EFO_0000603		0	0
EFO:0000604	C57BL/10	http://www.ebi.ac.uk/efo/EFO_0000604		0	0
EFO:0000606	C57BL/6J	http://www.ebi.ac.uk/efo/EFO_0000606		0	0
EFO:0000625	nevus	http://www.ebi.ac.uk/efo/EFO_0000625	UBERON:0000014	8	0
EFO:0000627	number of injections	http://www.ebi.ac.uk/efo/EFO_0000627		0	0
EFO:0000629	observational design	http://www.ebi.ac.uk/efo/EFO_0000629		8	0
EFO:0000633	operator variation	http://www.ebi.ac.uk/efo/EFO_0000633		9	0
EFO:0000635	organism part	http://www.ebi.ac.uk/efo/EFO_0000635		2	188
EFO:0000638	overall survival	http://www.ebi.ac.uk/efo/EFO_0000638		53	0
EFO:0000643	pathogen	http://www.ebi.ac.uk/efo/EFO_0000643		0	0
EFO:0000644	pathogen test	http://www.ebi.ac.uk/efo/EFO_0000644		0	0
EFO:0000647	experiment performer	http://www.ebi.ac.uk/efo/EFO_0000647		0	0
EFO:0000648	period of infection	http://www.ebi.ac.uk/efo/EFO_0000648		5	0
EFO:0000651	phenotype	http://www.ebi.ac.uk/efo/EFO_0000651		17	9732
EFO:0000658	plexiform neurofibroma	http://www.ebi.ac.uk/efo/EFO_0000658		0	0
EFO:0000663	pool	http://www.ebi.ac.uk/efo/EFO_0000663		0	0
EFO:0000672	prognostic subgroup	http://www.ebi.ac.uk/efo/EFO_0000672		0	0
EFO:0000683	replicate	http://www.ebi.ac.uk/efo/EFO_0000683		4	4
EFO:0000686	risk status	http://www.ebi.ac.uk/efo/EFO_0000686		1	0
EFO:0000688	sampling site	http://www.ebi.ac.uk/efo/EFO_0000688		0	0
EFO:0000689	sampling time	http://www.ebi.ac.uk/efo/EFO_0000689		14	0
EFO:0000696	shear stressing	http://www.ebi.ac.uk/efo/EFO_0000696		0	0
EFO:0000700	integumental cell	http://www.ebi.ac.uk/efo/EFO_0000700		0	0
EFO:0000714	survival time	http://www.ebi.ac.uk/efo/EFO_0000714		101	80
EFO:0000715	survival probability	http://www.ebi.ac.uk/efo/EFO_0000715		4	0
EFO:0000718	exposure temperature	http://www.ebi.ac.uk/efo/EFO_0000718		0	0
EFO:0000719	temporal measurement	http://www.ebi.ac.uk/efo/EFO_0000719		23	2323
EFO:0000720	test result	http://www.ebi.ac.uk/efo/EFO_0000720		28	41
EFO:0000721	time	http://www.ebi.ac.uk/efo/EFO_0000721		12	0
EFO:0000724	timepoint	http://www.ebi.ac.uk/efo/EFO_0000724		0	12
EFO:0000726	transfection	http://www.ebi.ac.uk/efo/EFO_0000726		0	4
EFO:0000727	treatment	http://www.ebi.ac.uk/efo/EFO_0000727		49	729
EFO:0000732	vehicle role	http://www.ebi.ac.uk/efo/EFO_0000732		9	0
EFO:0000735	washing	http://www.ebi.ac.uk/efo/EFO_0000735		1	0
EFO:0000746	proteomic profiling	http://www.ebi.ac.uk/efo/EFO_0000746		0	0
EFO:0000747	antigen profiling	http://www.ebi.ac.uk/efo/EFO_0000747		1	0
EFO:0000748	ChIP-Chip	http://www.ebi.ac.uk/efo/EFO_0000748		0	0
EFO:0000749	comparative genomic hybridization by array	http://www.ebi.ac.uk/efo/EFO_0000749		0	0
EFO:0000750	genotyping	http://www.ebi.ac.uk/efo/EFO_0000750		0	1
EFO:0000751	methylation profiling	http://www.ebi.ac.uk/efo/EFO_0000751		0	0
EFO:0000752	metabolomic profiling	http://www.ebi.ac.uk/efo/EFO_0000752		1	0
EFO:0000753	microRNA profiling by array	http://www.ebi.ac.uk/efo/EFO_0000753		0	0
EFO:0000768	idiopathic pulmonary fibrosis	http://www.ebi.ac.uk/efo/EFO_0000768	UBERON:0002048	12	0
EFO:0000782	Hibiscus chlorotic ringspot virus infection	http://www.ebi.ac.uk/efo/EFO_0000782		0	0
EFO:0000786	anatomy basic component	http://www.ebi.ac.uk/efo/EFO_0000786		0	158
EFO:0000788	fungal component	http://www.ebi.ac.uk/efo/EFO_0000788		0	0
EFO:0000792	craniofacial tissue	http://www.ebi.ac.uk/efo/EFO_0000792		0	0
EFO:0000795	animal developmental tissue	http://www.ebi.ac.uk/efo/EFO_0000795		0	3
EFO:0000808	animal body part	http://www.ebi.ac.uk/efo/EFO_0000808		0	0
EFO:0000811	fat body sensu amphibia	http://www.ebi.ac.uk/efo/EFO_0000811		0	0
EFO:0000884	invertebrate limb	http://www.ebi.ac.uk/efo/EFO_0000884		7	0
EFO:0000889	smooth muscle	http://www.ebi.ac.uk/efo/EFO_0000889		2	10
EFO:0000890	invertebrate ganglion	http://www.ebi.ac.uk/efo/EFO_0000890		0	0
EFO:0000897	pharyngeal nervous system	http://www.ebi.ac.uk/efo/EFO_0000897		0	0
EFO:0000938	sensory bristle	http://www.ebi.ac.uk/efo/EFO_0000938		0	0
EFO:0000949	cartilage	http://www.ebi.ac.uk/efo/EFO_0000949		2	0
EFO:0000988	gametophyte	http://www.ebi.ac.uk/efo/EFO_0000988		0	0
EFO:0000989	root structure	http://www.ebi.ac.uk/efo/EFO_0000989		3	0
