Subject	Object	IRI
CHEBI:24835	inorganic molecular entity	http://purl.obolibrary.org/obo/CHEBI_24835
CHEBI:24836	inorganic oxide	http://purl.obolibrary.org/obo/CHEBI_24836
CHEBI:24839	inorganic salt	http://purl.obolibrary.org/obo/CHEBI_24839
CHEBI:24866	salt	http://purl.obolibrary.org/obo/CHEBI_24866
CHEBI:24867	monoatomic ion	http://purl.obolibrary.org/obo/CHEBI_24867
CHEBI:24868	organic salt	http://purl.obolibrary.org/obo/CHEBI_24868
CHEBI:24870	ion	http://purl.obolibrary.org/obo/CHEBI_24870
CHEBI:24873	iron molecular entity	http://purl.obolibrary.org/obo/CHEBI_24873
CHEBI:24875	iron cation	http://purl.obolibrary.org/obo/CHEBI_24875
CHEBI:24913	isoprenoid	http://purl.obolibrary.org/obo/CHEBI_24913
CHEBI:24943	juvenile hormone	http://purl.obolibrary.org/obo/CHEBI_24943
CHEBI:25046	linear tetrapyrrole	http://purl.obolibrary.org/obo/CHEBI_25046
CHEBI:25212	metabolite	http://purl.obolibrary.org/obo/CHEBI_25212
CHEBI:25213	metal cation	http://purl.obolibrary.org/obo/CHEBI_25213
CHEBI:25354	mineralocorticoid	http://purl.obolibrary.org/obo/CHEBI_25354
CHEBI:25362	elemental molecule	http://purl.obolibrary.org/obo/CHEBI_25362
CHEBI:25367	molecule	http://purl.obolibrary.org/obo/CHEBI_25367
CHEBI:25375	monoamine molecular messenger	http://purl.obolibrary.org/obo/CHEBI_25375
CHEBI:25384	monocarboxylic acid	http://purl.obolibrary.org/obo/CHEBI_25384
CHEBI:25414	monoatomic monocation	http://purl.obolibrary.org/obo/CHEBI_25414
CHEBI:25512	neurotransmitter	http://purl.obolibrary.org/obo/CHEBI_25512
CHEBI:25513	neutral glycosphingolipid	http://purl.obolibrary.org/obo/CHEBI_25513
CHEBI:25555	nitrogen atom	http://purl.obolibrary.org/obo/CHEBI_25555
CHEBI:25585	nonmetal atom	http://purl.obolibrary.org/obo/CHEBI_25585
CHEBI:25608	nucleoside phosphate	http://purl.obolibrary.org/obo/CHEBI_25608
CHEBI:25693	organic heteromonocyclic compound	http://purl.obolibrary.org/obo/CHEBI_25693
CHEBI:25696	organic anion	http://purl.obolibrary.org/obo/CHEBI_25696
CHEBI:25697	organic cation	http://purl.obolibrary.org/obo/CHEBI_25697
CHEBI:25699	organic ion	http://purl.obolibrary.org/obo/CHEBI_25699
CHEBI:25701	organic oxide	http://purl.obolibrary.org/obo/CHEBI_25701
CHEBI:25703	organic phosphate	http://purl.obolibrary.org/obo/CHEBI_25703
CHEBI:25704	organic sulfate	http://purl.obolibrary.org/obo/CHEBI_25704
CHEBI:25710	organophosphorus compound	http://purl.obolibrary.org/obo/CHEBI_25710
CHEBI:25741	oxide	http://purl.obolibrary.org/obo/CHEBI_25741
CHEBI:25754	oxo carboxylic acid	http://purl.obolibrary.org/obo/CHEBI_25754
CHEBI:25805	oxygen atom	http://purl.obolibrary.org/obo/CHEBI_25805
CHEBI:25806	oxygen molecular entity	http://purl.obolibrary.org/obo/CHEBI_25806
CHEBI:25900	aldopentose phosphate	http://purl.obolibrary.org/obo/CHEBI_25900
CHEBI:25901	pentose	http://purl.obolibrary.org/obo/CHEBI_25901
CHEBI:25905	peptide hormone	http://purl.obolibrary.org/obo/CHEBI_25905
CHEBI:25985	phenylalanine derivative	http://purl.obolibrary.org/obo/CHEBI_25985
CHEBI:26020	phosphate	http://purl.obolibrary.org/obo/CHEBI_26020
CHEBI:26051	phosphoamino acid	http://purl.obolibrary.org/obo/CHEBI_26051
CHEBI:26078	phosphoric acid	http://purl.obolibrary.org/obo/CHEBI_26078
CHEBI:26079	phosphoric acid derivative	http://purl.obolibrary.org/obo/CHEBI_26079
CHEBI:26082	phosphorus molecular entity	http://purl.obolibrary.org/obo/CHEBI_26082
CHEBI:26130	biological pigment	http://purl.obolibrary.org/obo/CHEBI_26130
CHEBI:26167	polar amino acid	http://purl.obolibrary.org/obo/CHEBI_26167
CHEBI:26214	porphyrins	http://purl.obolibrary.org/obo/CHEBI_26214
CHEBI:26216	potassium atom	http://purl.obolibrary.org/obo/CHEBI_26216
CHEBI:26217	potassium molecular entity	http://purl.obolibrary.org/obo/CHEBI_26217
CHEBI:26386	purine nucleobase	http://purl.obolibrary.org/obo/CHEBI_26386
CHEBI:26391	purine nucleoside diphosphate	http://purl.obolibrary.org/obo/CHEBI_26391
CHEBI:26393	purine nucleoside triphosphate	http://purl.obolibrary.org/obo/CHEBI_26393
CHEBI:26394	purine nucleoside	http://purl.obolibrary.org/obo/CHEBI_26394
CHEBI:26395	purine nucleotide	http://purl.obolibrary.org/obo/CHEBI_26395
CHEBI:26396	purine ribonucleoside diphosphate	http://purl.obolibrary.org/obo/CHEBI_26396
