Subject	Object
CHEBI:16240	dioxidane
CHEBI:16240	dihydrogen(peroxide)
CHEBI:16240	dihydrogen peroxide
CHEBI:16240	bis(hydridooxygen)(O--O)
CHEBI:16240	Hydrogen peroxide
CHEBI:16240	HYDROGEN PEROXIDE
CHEBI:16243	2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-4H-chromen-4-one
CHEBI:16261	(1->4)-2-amino-2-deoxy-beta-D-glucan
CHEBI:16301	nitrite
CHEBI:16301	dioxonitrate(III)
CHEBI:16301	dioxonitrate(1-)
CHEBI:16301	dioxidonitrate(1-)
CHEBI:16301	Nitrite
CHEBI:16330	17beta-hydroxy-5alpha-androstan-3-one
CHEBI:16330	17beta-Hydroxy-5alpha-androstan-3-one
CHEBI:16335	adenosine
CHEBI:16335	Adenosine
CHEBI:16335	ADENOSINE
CHEBI:16345	3-sulfino-L-alanine
CHEBI:16345	3-Sulfino-L-alanine
CHEBI:16348	3-nitropropanoic acid
CHEBI:16348	3-NITROPROPANOIC ACID
CHEBI:16359	3alpha,7alpha,12alpha-trihydroxy-5beta-cholan-24-oic acid
CHEBI:16383	(1Z)-prop-1-ene-1,2,3-tricarboxylate
CHEBI:16393	(2S,3R,4E)-2-aminooctadec-4-ene-1,3-diol
CHEBI:16410	4-(aminomethyl)-5-(hydroxymethyl)-2-methylpyridin-3-ol
CHEBI:16410	4-(AMINOMETHYL)-5-(HYDROXYMETHYL)-2-METHYLPYRIDIN-3-OL
CHEBI:16411	1H-indol-3-ylacetic acid
CHEBI:164200	5-chloro-2-(2,4-dichlorophenoxy)phenol
CHEBI:16437	N(2)-acetyl-L-histidine
CHEBI:16449	alanine
CHEBI:16449	Alanine
CHEBI:16449	2-aminopropanoic acid
CHEBI:16449	2-Aminopropanoic acid
CHEBI:16454	3-(2,4-dihydroxy-3,3-dimethylbutanamido)propanoate
CHEBI:16467	L-arginine
CHEBI:16467	L-Arginine
CHEBI:16469	estra-1,3,5(10)-triene-3,17beta-diol
CHEBI:16482	naphthalene
CHEBI:16482	Naphthalene
CHEBI:16482	NAPHTHALENE
CHEBI:16522	(2E)-2-methyl-4-(9H-purin-6-ylamino)but-2-en-1-ol
CHEBI:16523	D-serine
CHEBI:16523	D-Serine
CHEBI:16523	D-SERINE
CHEBI:16526	methanedione
CHEBI:16526	dioxidocarbon
CHEBI:16526	carbon dioxide
CHEBI:16526	Carbon dioxide
CHEBI:16526	CARBON DIOXIDE
CHEBI:165498	(3S,5S,6S)-2-(hydroxymethyl)-6-(2-hydroxynonadecoxy)oxane-3,4,5-triol
CHEBI:16552	N-formyl-L-methionine
CHEBI:16552	N-Formyl-L-methionine
CHEBI:16552	(2S)-2-formamido-4-(methylsulfanyl)butanoic acid
CHEBI:165587	N-(2-hydroxyethyl)heptadecanamide
CHEBI:16566	sphinganine
CHEBI:16566	Sphinganine
CHEBI:16567	2-aminobenzoate
CHEBI:16587	(22R)-2beta,3beta,14alpha,20,22,25-hexahydroxy-5beta-cholest-7-en-6-one
CHEBI:16602	1,1,2-trichloroethene
CHEBI:16605	prop-2-en-1-ol
CHEBI:16610	N-(3-aminopropyl)butane-1,4-diamine
CHEBI:16632	4-hydroxy-3-methoxybenzoate
CHEBI:16632	4-HYDROXY-3-METHOXYBENZOATE
CHEBI:16646	carbohydrates
CHEBI:16646	carbohydrate
CHEBI:166495	1-(4-hydroxy-3-methylphenyl)ethanone
CHEBI:16668	2-aminoethanesulfinic acid
CHEBI:16668	2-Aminoethanesulfinic acid
CHEBI:16670	peptides
CHEBI:16675	pyridine-2,3-dicarboxylic acid
CHEBI:16680	S-(5'-deoxyadenosin-5'-yl)-L-homocysteine
CHEBI:16682	3-acetamidopropanoic acid
CHEBI:16688	(2beta,3beta,5beta,22R)-2,3,14,22,25-pentahydroxycholest-7-en-6-one
CHEBI:16704	uridine
CHEBI:16704	Uridine
CHEBI:16704	URIDINE
CHEBI:16708	9H-purin-6-amine
CHEBI:16716	benzene
CHEBI:16716	Benzene
CHEBI:16716	BENZENE
CHEBI:16731	(3E)-3-phenylprop-2-enal
CHEBI:16734	N-acetyl-D-tryptophan
CHEBI:16734	N-Acetyl-D-tryptophan
CHEBI:16734	(2R)-2-acetamido-3-(1H-indol-3-yl)propanoic acid
CHEBI:16737	2-imino-1-methylimidazolidin-4-one
CHEBI:16738	2,4-dichlorophenol
CHEBI:16738	2,4-Dichlorophenol
CHEBI:16742	2,6-dioxo-1,2,3,6-tetrahydropyrimidine-4-carboxylic acid
CHEBI:16750	guanosine
CHEBI:16750	Guanosine
CHEBI:16763	2-oxobutanoate
CHEBI:167876	3-hydroxy-2-oxo-3-phenylpropanoic acid
CHEBI:16794	(1R,2R,4S,5S,7S)-9-methyl-3-oxa-9-azatricyclo[3.3.1.0(2,4)]non-7-yl (2S)-3-hydroxy-2-phenylpropanoate
CHEBI:16797	3-carbamoyl-1-methylpyridinium
CHEBI:16810	2-oxopentanedioate
CHEBI:16811	methionine
CHEBI:16811	Methionine
CHEBI:16814	17-oxoandrost-5-en-3beta-yl hydrogen sulfate
CHEBI:16815	2-hydroxy-3-phenylprop-2-enoate
CHEBI:16831	3-hydroxy-3-methylpentanedioic acid
CHEBI:16831	3-Hydroxy-3-methylpentanedioic acid
CHEBI:168396	(4E)-6-(4-hydroxy-6-methoxy-7-methyl-3-oxo-1,3-dihydro-2-benzofuran-5-yl)-4-methylhex-4-enoic acid
CHEBI:16842	formaldehyde
CHEBI:16842	Formaldehyde
CHEBI:16856	L-gamma-glutamyl-L-cysteinylglycine
CHEBI:16865	4-aminobutanoic acid
CHEBI:16865	4-Aminobutanoic acid
CHEBI:16870	2-{[(2R)-2,3-dihydroxypropoxy](hydroxy)phosphoryloxy}-N,N,N-trimethylethanaminium
CHEBI:16870	(2R)-2,3-dihydroxypropyl 2-(trimethylazaniumyl)ethyl phosphate
CHEBI:16874	(2S,3R,4E)-2-amino-3-hydroxyoctadec-4-en-1-yl beta-D-galactopyranoside
CHEBI:16891	oxoacetic acid
CHEBI:16893	sphinganine 1-(dihydrogen phosphate)
CHEBI:16899	mannitol
CHEBI:16899	Mannitol
