Subject	Object
CHEBI:114785	drugbank:DB00530
CHEBI:114785	cas:183321-74-6
CHEBI:1148	wikipedia.en:2-Hydroxybutyric_acid
CHEBI:1148	reaxys:878248
CHEBI:1148	pubmed:168632
CHEBI:1148	pubmed:164303
CHEBI:1148	pubmed:15749359
CHEBI:1148	lipidmaps:LMFA01050004
CHEBI:1148	kegg.compound:C05984
CHEBI:1148	hmdb:HMDB0000008
CHEBI:1148	cas:600-15-7
CHEBI:11596	reaxys:5736650
CHEBI:11596	metacyc.compound:2-HYDROXYGLUTARIC_ACID
CHEBI:116314	wikipedia.en:Oleamide
CHEBI:116314	reaxys:1726539
CHEBI:116314	pubmed:24253045
CHEBI:116314	pubmed:23078175
CHEBI:116314	pubmed:17445087
CHEBI:116314	pubmed:11681856
CHEBI:116314	lipidmaps:LMFA08010004
CHEBI:116314	hmdb:HMDB0002117
CHEBI:116314	cas:301-02-0
CHEBI:11805	kegg.compound:C01188
CHEBI:11851	reaxys:3661467
CHEBI:11851	pubmed:9748245
CHEBI:11851	metacyc.compound:2-KETO-ISOVALERATE
CHEBI:11851	kegg.compound:C00141
CHEBI:11892	reaxys:3663255
CHEBI:11892	gmelin:675229
CHEBI:11892	Reaxys:3663255
CHEBI:11892	Gmelin:675229
CHEBI:11892	Beilstein:3663255
CHEBI:119486	wikipedia.en:Efavirenz
CHEBI:119486	reaxys:7387333
CHEBI:119486	pubmed:25017682
CHEBI:119486	pubmed:10673109
CHEBI:119486	pubmed:10576692
CHEBI:119486	pdb-ccd:EFZ
CHEBI:119486	patent:US5519021
CHEBI:119486	patent:EP582455
CHEBI:119486	lincs.smallmolecule:LSM-5526
CHEBI:119486	kegg.drug:D00896
CHEBI:119486	kegg.compound:C08088
CHEBI:119486	hmdb:HMDB0014763
CHEBI:119486	drugcentral:989
CHEBI:119486	drugbank:DB00625
CHEBI:119486	cas:154598-52-4
CHEBI:11951	pubmed:4156831
CHEBI:11951	metacyc.compound:CPD-35
CHEBI:11951	kegg.compound:C02946
CHEBI:1224	wikipedia.en:2-Nitrofluorene
CHEBI:1224	reaxys:1877983
CHEBI:1224	pubmed:23128813
CHEBI:1224	pubmed:10366768
CHEBI:1224	lincs.smallmolecule:LSM-37230
CHEBI:1224	kegg.compound:C10923
CHEBI:1224	cas:607-57-8
CHEBI:124991	wikipedia.en:Cephalothin
CHEBI:124991	reaxys:945586
CHEBI:124991	pubmed:6176550
CHEBI:124991	pubmed:29017833
CHEBI:124991	pubmed:23680238
CHEBI:124991	pubmed:23472927
CHEBI:124991	pubmed:2083978
CHEBI:124991	pubmed:1701026
CHEBI:124991	pubmed:13963283
CHEBI:124991	pubmed:1384868
CHEBI:124991	pubmed:12833570
CHEBI:124991	pubmed:12569987
CHEBI:124991	pubmed:10930630
CHEBI:124991	pdb-ccd:CLS
CHEBI:124991	patent:US3218318
CHEBI:124991	patent:FR1384197
CHEBI:124991	lincs.smallmolecule:LSM-15184
CHEBI:124991	kegg.drug:D07635
CHEBI:124991	kegg.compound:C07761
CHEBI:124991	hmdb:HMDB0014599
CHEBI:124991	drugcentral:574
CHEBI:124991	drugbank:DB00456
CHEBI:124991	cas:153-61-7
CHEBI:124991	beilstein:945586
CHEBI:12777	wikipedia.en:Vitamin_A
CHEBI:12777	metacyc.compound:Vitamin-A
CHEBI:12777	SNOMEDCT:82622003
CHEBI:12777	MESH:D014801
CHEBI:131428	pubmed:23475189
CHEBI:131444	chemspider:18748017
CHEBI:132028	reaxys:3919128
CHEBI:132028	pubmed:16332456
CHEBI:132028	metacyc.compound:CPD-18799
CHEBI:132030	reaxys:4301713
CHEBI:132030	pubmed:16332456
CHEBI:132188	reaxys:1725512
CHEBI:132188	chemspider:63154
CHEBI:132188	cas:820-10-0
CHEBI:132479	reaxys:17116739
CHEBI:132479	lipidmaps:LMFA08020078
CHEBI:132923	reaxys:3673294
CHEBI:132991	reaxys:26522098
CHEBI:132991	cas:21282-10-0
CHEBI:133119	cas:27935-53-1
CHEBI:133177	pubmed:27458508
CHEBI:133199	reaxys:5951324
CHEBI:133199	pubmed:9094205
CHEBI:133199	pubmed:21079932
CHEBI:133199	hmdb:HMDB0060564
CHEBI:133199	cas:15935-54-3
CHEBI:133460	reaxys:2455916
CHEBI:133460	pubmed:13705637
CHEBI:133460	hmdb:HMDB0060013
CHEBI:133460	cas:3233-59-8
CHEBI:133469	reaxys:81982
CHEBI:133469	cas:2353-44-8
CHEBI:133570	reaxys:3329536
CHEBI:133570	cas:95480-60-7
CHEBI:133607	reaxys:25327110
CHEBI:133613	hmdb:HMDB0013678
CHEBI:133686	reaxys:5280904
CHEBI:133686	cas:6548-09-0
CHEBI:133833	wikipedia.en:Benznidazole
CHEBI:133833	reaxys:551486
CHEBI:133833	pubmed:27688600
CHEBI:133833	pubmed:27619190
CHEBI:133833	pubmed:27550362
CHEBI:133833	pubmed:27488437
CHEBI:133833	pubmed:27487264
CHEBI:133833	pubmed:27376278
CHEBI:133833	pubmed:27246447
CHEBI:133833	pubmed:27223650
CHEBI:133833	pubmed:27161638
CHEBI:133833	pubmed:27158908
CHEBI:133833	pubmed:27067322
CHEBI:133833	pubmed:27001816
CHEBI:133833	pubmed:26982179
CHEBI:133833	pubmed:26974551
CHEBI:133833	pubmed:26760095
CHEBI:133833	pubmed:26760094
CHEBI:133833	pubmed:26760093
CHEBI:133833	pubmed:26760092
CHEBI:133833	kegg.drug:D02489
CHEBI:133833	drugcentral:322
CHEBI:133833	cas:22994-85-0
CHEBI:134487	pubmed:28572881
CHEBI:135752	wikipedia.en:Tafenoquine
CHEBI:135752	reaxys:6493037
CHEBI:135752	pubmed:29869298
CHEBI:135752	pubmed:29677199
CHEBI:135752	pubmed:29121061
CHEBI:135752	pubmed:28749773
CHEBI:135752	pubmed:28526056
CHEBI:135752	pubmed:28495355
CHEBI:135752	pubmed:28495354
CHEBI:135752	pubmed:28319724
CHEBI:135752	pubmed:28214869
CHEBI:135752	pubmed:28043395
CHEBI:135752	pubmed:27855400
CHEBI:135752	pubmed:27697758
CHEBI:135752	pubmed:27528800
CHEBI:135752	pubmed:27405118
CHEBI:135752	pubmed:26888075
CHEBI:135752	pubmed:26610844
CHEBI:135752	pubmed:26500351
CHEBI:135752	pubmed:26195527
CHEBI:135752	pubmed:26187807
CHEBI:135752	pubmed:25921416
CHEBI:135752	pubmed:25891812
CHEBI:135752	pubmed:25870069
CHEBI:135752	pubmed:25663384
CHEBI:135752	pubmed:23701202
CHEBI:135752	kegg.drug:D10490
CHEBI:135752	drugcentral:3578
CHEBI:135752	drugbank:DB06608
CHEBI:135752	cas:106635-80-7
CHEBI:135752	Reaxys:6493037
CHEBI:135752	PMID:29869298
CHEBI:135752	PMID:29677199
CHEBI:135752	PMID:29121061
CHEBI:135752	PMID:28749773
CHEBI:135752	PMID:28526056
CHEBI:135752	PMID:28495355
CHEBI:135752	PMID:28495354
