IRI	Direct	Inherited
http://purl.obolibrary.org/obo/AfPO_0000562	0	0
http://purl.obolibrary.org/obo/AfPO_0000574	0	0
http://purl.obolibrary.org/obo/AfPO_0000205	0	0
http://purl.obolibrary.org/obo/AfPO_0000228	0	0
http://purl.obolibrary.org/obo/AfPO_0000229	0	0
http://purl.obolibrary.org/obo/AfPO_0000413	0	0
http://purl.obolibrary.org/obo/AfPO_0000558	0	0
http://purl.obolibrary.org/obo/AfPO_0000560	0	0
http://purl.obolibrary.org/obo/AfPO_0000074	0	0
http://purl.obolibrary.org/obo/AfPO_0000524	0	0
http://purl.obolibrary.org/obo/AfPO_0000543	0	0
http://purl.obolibrary.org/obo/AfPO_0000546	0	0
http://purl.obolibrary.org/obo/AfPO_0000547	0	0
http://purl.obolibrary.org/obo/AfPO_0000548	0	0
http://purl.obolibrary.org/obo/AfPO_0000551	0	0
http://purl.obolibrary.org/obo/AfPO_0000056	0	0
http://purl.obolibrary.org/obo/AfPO_0000057	0	0
http://purl.obolibrary.org/obo/AfPO_0000066	0	0
http://purl.obolibrary.org/obo/AfPO_0000075	0	0
http://purl.obolibrary.org/obo/AfPO_0000085	0	0
http://purl.obolibrary.org/obo/AfPO_0000088	0	0
http://purl.obolibrary.org/obo/AfPO_0000091	0	0
http://purl.obolibrary.org/obo/AfPO_0000098	0	0
http://purl.obolibrary.org/obo/AfPO_0000112	0	0
http://purl.obolibrary.org/obo/AfPO_0000134	0	0
http://purl.obolibrary.org/obo/AfPO_0000135	0	0
http://purl.obolibrary.org/obo/AfPO_0000198	0	0
http://purl.obolibrary.org/obo/AfPO_0000327	0	0
http://purl.obolibrary.org/obo/AfPO_0000404	0	0
http://purl.obolibrary.org/obo/AfPO_0000405	0	0
http://purl.obolibrary.org/obo/AfPO_0000487	0	0
http://purl.obolibrary.org/obo/AfPO_0000488	0	0
http://purl.obolibrary.org/obo/AfPO_0000490	0	0
http://purl.obolibrary.org/obo/AfPO_0000491	0	0
http://purl.obolibrary.org/obo/AfPO_0000494	0	0
http://purl.obolibrary.org/obo/AfPO_0000497	0	0
http://purl.obolibrary.org/obo/AfPO_0000498	0	0
http://purl.obolibrary.org/obo/AfPO_0000499	0	0
http://purl.obolibrary.org/obo/AfPO_0000509	0	0
http://purl.obolibrary.org/obo/AfPO_0000510	0	0
http://purl.obolibrary.org/obo/AfPO_0000514	0	0
http://purl.obolibrary.org/obo/AfPO_0000579	0	0
http://purl.obolibrary.org/obo/AfPO_0000142	0	0
http://purl.obolibrary.org/obo/AfPO_0000343	0	0
http://purl.obolibrary.org/obo/AfPO_0000533	0	0
http://purl.obolibrary.org/obo/AfPO_0000556	0	0
http://purl.obolibrary.org/obo/AfPO_0000360	0	0
http://purl.obolibrary.org/obo/AfPO_0000236	0	0
http://purl.obolibrary.org/obo/AfPO_0000237	0	0
http://purl.obolibrary.org/obo/AfPO_0000238	0	0
http://purl.obolibrary.org/obo/AfPO_0000239	0	0
http://purl.obolibrary.org/obo/AfPO_0000240	0	0
http://purl.obolibrary.org/obo/AfPO_0000242	0	0
http://purl.obolibrary.org/obo/AfPO_0000243	0	0
http://purl.obolibrary.org/obo/AfPO_0000329	0	0
http://purl.obolibrary.org/obo/AfPO_0000338	0	0
http://purl.obolibrary.org/obo/AfPO_0000344	0	0
http://purl.obolibrary.org/obo/AfPO_0000409	0	0
http://purl.obolibrary.org/obo/AfPO_0000489	0	0
http://purl.obolibrary.org/obo/AfPO_0000121	0	0
http://purl.obolibrary.org/obo/AfPO_0000206	0	0
http://purl.obolibrary.org/obo/AfPO_0000431	0	0
http://purl.obolibrary.org/obo/AfPO_0000220	0	0
http://purl.obolibrary.org/obo/AfPO_0000227	0	0
http://purl.obolibrary.org/obo/AfPO_0000428	0	0
